ProductID,ProductName,Category,Price_USD,Stock_Qty,Supplier,Weight_kg,Rating
P001,Wireless Earbuds,Electronics,89.99,450,AudioTech,0.15,4.4
P002,Running Shoes,Clothing,129.99,320,SportsFit,0.8,4.6
P003,Python Programming,Books,49.99,180,TechBooks,0.6,4.8
P004,Garden Hose 20m,Home & Garden,34.99,200,GreenThumb,1.2,4.2
P005,LEGO Set 500pcs,Toys,79.99,150,BrickWorld,1.5,4.7
P006,Yoga Mat,Sports,39.99,280,FitGear,1.0,4.5
P007,USB-C Hub 7-port,Electronics,59.99,380,TechHub,0.25,4.3
P008,Winter Jacket,Clothing,189.99,120,WarmWear,1.3,4.5
P009,Data Science Handbook,Books,59.99,95,TechBooks,0.8,4.7
P010,Plant Pot Ceramic,Home & Garden,24.99,310,GreenThumb,0.9,4.3
P011,Remote Control Car,Toys,54.99,200,SpeedRacer,0.7,4.2
P012,Resistance Bands Set,Sports,29.99,420,FitGear,0.4,4.6
P013,Mechanical Keyboard,Electronics,149.99,180,TypeMaster,0.85,4.7
P014,Denim Jeans,Clothing,79.99,,StyleCo,0.6,4.1
P015,Machine Learning Book,Books,69.99,75,TechBooks,0.85,4.9
P016,Smart Plug 4-pack,Home & Garden,44.99,350,SmartHome,0.3,4.4
P017,Board Game Strategy,Toys,44.99,165,GameMaster,1.1,4.8
P018,Dumbbells 10kg pair,Sports,89.99,140,FitGear,20.0,4.5
P019,Webcam 4K,Electronics,119.99,210,TechHub,0.35,4.3
P020,Casual Sneakers,Clothing,99.99,290,StyleCo,0.9,4.4
P021,Cloud Computing Book,Books,54.99,60,TechBooks,0.75,4.6
P022,LED Desk Lamp,Home & Garden,54.99,380,LightUp,0.8,4.5
P023,Puzzle 1000pcs,Toys,34.99,220,PuzzleFun,0.5,4.7
P024,Tennis Racket,Sports,149.99,95,SportsFit,0.3,4.4
P025,Portable Charger 20000mAh,Electronics,59.99,450,PowerMax,0.45,4.5
