Department,CostCenter,Category,Actual_USD
Engineering,CC-ENG-01,Salaries,308000
Engineering,CC-ENG-02,Software_Licenses,101000
Engineering,CC-ENG-03,Hardware,147000
Engineering,CC-ENG-04,Training,92000
Engineering,CC-ENG-05,Cloud_Infrastructure,121000
Engineering,CC-ENG-06,R&D,93000
Marketing,CC-MAR-01,Salaries,495000
Marketing,CC-MAR-02,Advertising,20000
Marketing,CC-MAR-03,Events,222000
Marketing,CC-MAR-04,Research,31000
Marketing,CC-MAR-05,Social_Media,203000
Marketing,CC-MAR-06,PR_Agency,75000
Operations,CC-OPE-01,Salaries,623000
Operations,CC-OPE-02,Facilities,42000
Operations,CC-OPE-03,Logistics,179000
Operations,CC-OPE-04,Maintenance,30000
Operations,CC-OPE-05,Security,70000
Operations,CC-OPE-06,Utilities,86000
Finance,CC-FIN-01,Salaries,340000
Finance,CC-FIN-02,Audit_Fees,187000
Finance,CC-FIN-03,Compliance,164000
Finance,CC-FIN-04,Tax_Advisory,91000
Finance,CC-FIN-05,ERP_Licenses,65000
Finance,CC-FIN-06,Insurance,206000
HR,CC-HR-01,Salaries,599000
HR,CC-HR-02,Recruitment,175000
HR,CC-HR-03,Benefits_Admin,167000
HR,CC-HR-04,L&D_Programs,145000
HR,CC-HR-05,Wellness,44000
HR,CC-HR-06,HR_Software,56000
Legal,CC-LEG-01,Salaries,404000
Legal,CC-LEG-02,External_Counsel,78000
Legal,CC-LEG-03,IP_Management,177000
Legal,CC-LEG-04,Contract_Review,191000
Legal,CC-LEG-05,Regulatory,159000
Legal,CC-LEG-06,Litigation,169000
Sales,CC-SAL-01,Salaries,321000
Sales,CC-SAL-02,Commissions,69000
Sales,CC-SAL-03,CRM_Software,109000
Sales,CC-SAL-04,Travel,170000
Sales,CC-SAL-05,Conferences,167000
Sales,CC-SAL-06,Demo_Equipment,91000
IT,CC-IT-01,Salaries,427000
IT,CC-IT-02,Network_Infra,211000
IT,CC-IT-03,Cybersecurity,151000
IT,CC-IT-04,Helpdesk,138000
IT,CC-IT-05,SaaS_Tools,127000
IT,CC-IT-06,Data_Storage,27000
Procurement,CC-PRO-01,Salaries,346000
Procurement,CC-PRO-02,Supplier_Audits,75000
Procurement,CC-PRO-03,ERP_Modules,44000
Procurement,CC-PRO-04,Logistics_Software,108000
Procurement,CC-PRO-05,Vendor_Mgmt,56000
Procurement,CC-PRO-06,Contracts,162000
Facilities,CC-FAC-01,Salaries,397000
Facilities,CC-FAC-02,Rent,99000
Facilities,CC-FAC-03,Cleaning,86000
Facilities,CC-FAC-04,Catering,90000
Facilities,CC-FAC-05,Parking,156000
Facilities,CC-FAC-06,Fit_Out,156000
